ligand,sample,n_pocket_residues_touched,donor_to_centroid,rg_about_donor,centroid_fe_dist,azimuth_about_axis,distal_half_contacts,distal_half_buried_frac,contact_consensus
PG0,pred.model_idx_7,8,2.981412629212031,4.032825017899984,5.714745183787725,65.81903526641037,15,0.25,0.6203703703703703
PG0,pred.model_idx_8,5,0.9346312859224222,2.711501774847289,5.218461712097254,65.9427605273896,16,0.25,0.6726190476190476
PG0,pred.model_idx_9,6,0.9454812018887527,2.629518278126243,4.953471353820975,62.0738679837938,21,0.75,0.7923280423280423
PK9,pred.model_idx_0,8,4.643810460562468,5.76564603522999,6.321548151815057,76.53989234083649,45,0.36363636363636365,0.7137183803850471
PK9,pred.model_idx_1,9,4.785057884738957,5.908645655161669,6.687141242996197,68.52049060699659,57,0.45454545454545453,0.6548951048951048
PK9,pred.model_idx_2,10,4.554635850392283,5.680630648547519,6.355058942642565,86.65355887491828,53,0.36363636363636365,0.7639212639212639
PK9,pred.model_idx_3,10,4.554743576247583,5.696662131001154,6.2761672707621505,63.69746069620522,60,0.45454545454545453,0.7842916342916343
PK9,pred.model_idx_4,9,4.668474176846925,5.781274739077503,6.377802225441229,89.24682265257042,48,0.2727272727272727,0.6858456358456358
PK9,pred.model_idx_5,12,4.202719228658255,5.460277553066487,5.964751993982352,103.04010895773575,61,0.2727272727272727,0.782051282051282
PK9,pred.model_idx_6,11,4.365301957001761,5.543238748790003,6.2882549077227345,97.28731825474313,58,0.45454545454545453,0.8086635586635587
PK9,pred.model_idx_7,13,4.3484360063502425,5.587065730619327,6.156593913388045,109.45566815657236,55,0.36363636363636365,0.7435897435897436
PK9,pred.model_idx_8,8,4.727570482330901,5.824675090770598,6.506202757183359,114.07639214575923,42,0.2727272727272727,0.6611931278597944
PK9,pred.model_idx_9,10,4.711934997794478,5.8172159970661,6.4277339462916485,77.2132712648981,49,0.2727272727272727,0.7821030821030822
PG4,pred.model_idx_0,9,3.185255908272274,4.7561207932515766,6.265230762619661,65.51404029552421,38,0.6666666666666666,0.7593714927048261
PG4,pred.model_idx_1,10,2.994612137167517,4.600739313498346,6.641472317519565,66.65812101473385,46,0.6666666666666666,0.8232323232323232
PG4,pred.model_idx_2,9,3.2094402118395626,4.83980938912649,5.874094680844583,59.40770132853337,46,1.0,0.8212121212121213
PG4,pred.model_idx_3,9,3.2891147691281675,4.763999208809596,5.930914999705173,45.15737846219133,46,1.0,0.8212121212121213
PG4,pred.model_idx_4,9,2.853366219233887,4.513412797088593,6.12388763622138,68.45236217518531,34,0.3333333333333333,0.8212121212121213
PG4,pred.model_idx_5,8,2.970718775215876,4.410541210467347,6.223932787965534,83.65662975142074,40,0.8333333333333334,0.7851851851851852
PG4,pred.model_idx_6,10,3.145451535304072,4.698637396588014,6.3318524430806775,62.21571030609714,52,0.6666666666666666,0.8232323232323232
PG4,pred.model_idx_7,9,3.104511723511464,4.690252264824602,6.0955999044611096,69.16751196668102,25,0.16666666666666666,0.854320987654321
PG4,pred.model_idx_8,9,3.5809594050135543,5.123944198939539,6.0792341394203175,54.70851609660833,44,0.6666666666666666,0.8212121212121213
PG4,pred.model_idx_9,9,2.9441530683612274,4.568203838237991,6.126465681898437,60.95009737274552,36,0.3333333333333333,0.854320987654321
QDJ,pred.model_idx_0,13,6.610828539785161,8.020805386334626,8.49726104698566,56.21737577830074,118,0.4090909090909091,0.77744708994709
QDJ,pred.model_idx_1,16,6.869376264962351,8.470347086910152,8.771950166535008,15.938397314286512,152,0.7272727272727273,0.7769607843137254
QDJ,pred.model_idx_2,15,6.050618959569753,7.533942377666556,8.035418390040176,41.14464579910844,138,0.5,0.7495188816267249
QDJ,pred.model_idx_3,14,6.348489847027394,7.81419166993909,8.40835126372427,7.105227564635035,142,0.6818181818181818,0.7664760348583878
QDJ,pred.model_idx_4,12,5.858186192492442,7.3757020497897505,8.053468000156546,129.1020582205334,105,0.3181818181818182,0.7272525676937441
QDJ,pred.model_idx_5,15,6.32074923628978,7.827861623132406,8.40754958079418,65.18372403174997,129,0.5,0.7524146695715325
QDJ,pred.model_idx_6,14,6.8428872368360505,8.39295828900091,8.76618052827088,-95.97312088424185,116,0.45454545454545453,0.772573659093267
QDJ,pred.model_idx_7,14,6.739896734270959,8.235117982264624,8.502188752288754,37.06474654434207,122,0.45454545454545453,0.7299110384894699
QDJ,pred.model_idx_8,14,6.841625897737086,8.303888837055915,8.716163129342753,-8.183245127392635,101,0.4090909090909091,0.772573659093267
QDJ,pred.model_idx_9,15,6.354899739644186,7.932630990523773,8.391410745032019,87.70962703235479,128,0.5,0.7952342047930283
PKT,pred.model_idx_0,11,5.7729226962865425,7.103652747962584,7.6165669732038905,106.38619720587381,55,0.3125,0.7168294668294669
PKT,pred.model_idx_1,13,5.434297959208551,6.666776775605853,7.49779589271755,63.721515742821055,70,0.375,0.7106023606023606
PKT,pred.model_idx_2,14,5.982498764282903,7.270479007603282,7.674125055909459,72.58478851278812,62,0.25,0.7673941798941798
PKT,pred.model_idx_3,12,5.025875529170091,6.307375074730638,7.031431427925599,87.21321393167503,64,0.3125,0.754884004884005
PKT,pred.model_idx_4,12,6.355625148661856,7.651799301174498,8.188964536607678,179.78918068762874,62,0.375,0.6342134717134716
PKT,pred.model_idx_5,13,4.960962340642275,6.263152780954314,6.632903001255087,-68.17063191686537,75,0.375,0.7457875457875457
PKT,pred.model_idx_6,13,5.752590388125485,6.931169517389391,7.553221353165638,70.6622296738313,74,0.3125,0.7880341880341881
PKT,pred.model_idx_7,10,4.625488736691493,5.901520851749687,6.441648313332062,75.01771113648726,68,0.4375,0.6798534798534797
PKT,pred.model_idx_8,11,6.2723873545726985,7.627429810568663,8.008711456058931,117.38777755917555,55,0.125,0.6876678876678877
PKT,pred.model_idx_9,12,5.77503467279571,7.019000863457143,7.432982099819363,89.37366020110571,50,0.125,0.7547008547008547
QDP,pred.model_idx_0,12,6.200418789081911,7.6270274608715605,8.135666721568949,32.41731073430283,112,0.4090909090909091,0.7508487155545979
QDP,pred.model_idx_1,17,7.0157882106567415,8.654615466135205,8.88460708786151,49.00485653010453,154,0.7272727272727273,0.7665214233841685
QDP,pred.model_idx_2,15,6.307937080915607,7.811014335894894,8.212249631909037,53.88168342366615,134,0.5454545454545454,0.7942901234567902
QDP,pred.model_idx_3,16,6.632556311311351,8.134699390744428,8.581259587706512,23.36464692823693,156,0.5454545454545454,0.79720406681191
QDP,pred.model_idx_4,13,6.147861280594423,7.651496752633144,8.159258694056907,50.395039310833894,106,0.36363636363636365,0.7605755265068991
QDP,pred.model_idx_5,14,6.652599638310901,8.18659013807879,8.6234695784166,55.087070331058555,103,0.36363636363636365,0.7633844278452122
QDP,pred.model_idx_6,14,6.425283898030808,7.9545112053158595,8.388417649242092,39.77310108275387,130,0.5454545454545454,0.7766132378877477
QDP,pred.model_idx_7,14,6.9538673542670315,8.49957315660289,8.695089234905126,11.025765050099382,122,0.45454545454545453,0.6456971677559913
