ligand,poses,n_donors_no3a,n_donors_with3a,mean_fragment_atoms,oracle,random_mean,frag_cons_selected,incumbent_selected,delta_frag_minus_incumbent,within_ligand_rho,crystal_percentile_on_feature,mean_transfer_distance_A
A1ASR,20,471,589,7.067940552016985,0.8069620253164558,0.6812974683544304,0.743037974683545,0.743037974683545,0.0,0.4467845370491323,0.4,4.59152200715557
A1ASS,20,471,589,7.0,0.7063291139240506,0.6612974683544304,0.6892405063291137,0.5879746835443032,0.10126582278481056,-0.7654135338345864,1.0,4.029969084440017
A1ASU,20,470,593,6.885106382978724,0.7302631578947368,0.6356085526315789,0.5953947368421054,0.7302631578947375,-0.13486842105263208,0.25864661654135335,0.15,4.19624476995874
A1ASV,20,473,591,7.00845665961945,0.7365439093484418,0.5997875354107649,0.71671388101983,0.6310198300283288,0.08569405099150118,-0.9477247755587654,0.8,4.137945761255936
A1CIW,20,480,598,7.470833333333333,0.4542606516290727,0.3784147869674185,0.4179197994987473,0.32894736842105243,0.08897243107769487,0.26476120714022655,0.75,4.656008104315649
CFF,20,136,158,6.0,0.9081395348837208,0.48127906976744195,0.9081395348837218,0.47209302325581337,0.4360465116279084,-0.29917182707249534,0.95,6.377293387230706
CL6,20,489,594,7.267893660531698,0.8181818181818182,0.4912405303030303,0.8181818181818185,0.4592803030303036,0.35890151515151486,-0.2484942577097531,0.9,3.910515238847469
D0R,20,574,701,7.026132404181185,0.6679515418502203,0.3254955947136563,0.19438325991189434,0.6679515418502213,-0.473568281938327,0.1580135887496698,0.85,4.640865051289469
D7J,20,524,653,6.982824427480916,0.8802395209580838,0.7037175648702595,0.5843313373253494,0.8802395209580846,-0.2959081836327352,0.7990972916769016,0.0,5.655145428036802
D7M,20,169,257,6.272189349112426,0.8509513742071881,0.6881871035940803,0.6072938689217764,0.7764270613107834,-0.16913319238900704,0.3714285714285714,0.7,3.4699229003674184
D7Y,20,170,258,6.305882352941176,0.8548565121412803,0.7748344370860927,0.6804635761589404,0.7290286975717428,-0.04856512141280245,0.33533834586466166,0.9,3.4615746488334493
D81,20,523,652,6.977055449330784,0.7020725388601037,0.5256476683937822,0.38082901554404114,0.6666666666666664,-0.28583765112262527,0.37293233082706767,0.8,5.598353101344456
DEJ,20,524,653,6.606870229007634,0.7679533213644525,0.5856149012567325,0.43222621184919163,0.767953321364452,-0.3357271095152604,0.6075187969924812,0.35,6.8731612029734235
DEV,20,523,652,7.051625239005737,0.7699029126213592,0.6469417475728155,0.7699029126213598,0.6388349514563104,0.13106796116504937,-0.5447706583560045,1.0,4.996413355829269
DJ1,20,523,652,6.604206500956023,0.5272873194221509,0.4836677367576244,0.3796147672552162,0.4081059390048158,-0.028491171749599586,-0.04210526315789473,0.9,9.004745204347838
ERY,20,27,27,15.407407407407407,0.6721052631578948,0.6105,0.5347368421052634,0.6721052631578954,-0.13736842105263203,0.42346749892030544,0.7,7.570013919583071
FZV,20,522,638,7.024904214559387,0.7258064516129032,0.6618951612903226,0.6844758064516132,0.6486895161290321,0.03578629032258107,-0.40451127819548865,1.0,4.441743024081791
G0D,20,522,644,6.984674329501916,0.8334970530451866,0.5863457760314341,0.5461689587426333,0.5830058939096266,-0.03683693516699338,0.01504325040569469,1.0,4.4394005004530666
G0J,20,524,652,7.057251908396947,0.4839331619537275,0.45571979434447296,0.4691516709511563,0.48393316195372815,-0.014781491002571867,-0.44151939940713913,0.4,4.429109819165169
G0M,20,522,644,6.984674329501916,0.7862903225806451,0.7523521505376344,0.7473118279569898,0.7775537634408614,-0.03024193548387155,0.3303236450528812,1.0,4.438864005890843
G0V,20,522,638,7.024904214559387,0.5374365482233503,0.5001269035532996,0.4828680203045685,0.5279187817258879,-0.04505076142131942,-0.41594587371745817,0.25,4.442355283829331
G1J,20,522,644,6.984674329501916,0.872737556561086,0.8182692307692309,0.8308823529411756,0.8727375565610848,-0.04185520361990913,-0.11658519064413385,1.0,4.440766365417918
J9K,20,522,651,6.980842911877395,0.3385650224215246,0.27990470852017935,0.2780269058295965,0.2617713004484302,0.01625560538116627,-0.7115457441893588,1.0,5.296540397645414
KLN,20,491,608,7.391038696537678,0.4615384615384615,0.3801495726495726,0.3961538461538465,0.4213675213675216,-0.02521367521367507,-0.2120300751879699,0.1,4.805655794980691
