ligand,sample,mean_rmsd_to_others,cluster_size,in_largest_cluster
A1ASR,pred.model_idx_4,8.140046954851739,1,False
A1ASR,pred.model_idx_5,8.322468732648215,1,False
A1ASR,pred.model_idx_6,6.270491169621012,1,False
A1ASR,pred.model_idx_7,7.59143471052721,1,False
A1ASR,pred.model_idx_8,7.0889488426076195,1,False
A1ASR,pred.model_idx_9,6.314522433314595,1,False
A1ASS,pred.model_idx_0,7.193472419580646,1,True
A1ASS,pred.model_idx_1,5.829165274415013,1,False
A1ASS,pred.model_idx_2,8.71067733949815,1,False
A1ASS,pred.model_idx_3,5.947254101160071,1,False
A1ASS,pred.model_idx_4,7.669852250439801,1,False
A1ASS,pred.model_idx_5,8.3117464640654,1,False
A1ASS,pred.model_idx_6,6.437940538900616,1,False
A1ASS,pred.model_idx_7,7.31849334808802,1,False
A1ASS,pred.model_idx_8,6.884088987439048,1,False
A1ASS,pred.model_idx_9,6.0731931047900005,1,False
A1AST,pred.model_idx_0,7.905576325804282,1,True
A1AST,pred.model_idx_1,6.35742990118327,1,False
A1AST,pred.model_idx_2,10.003501369160297,1,False
A1AST,pred.model_idx_3,7.433620089568628,1,False
A1AST,pred.model_idx_4,9.26496895498898,1,False
A1AST,pred.model_idx_5,8.627652064577298,1,False
A1AST,pred.model_idx_6,7.4685434473875825,1,False
A1AST,pred.model_idx_7,7.990105050113986,1,False
A1AST,pred.model_idx_8,6.898387556171616,1,False
A1AST,pred.model_idx_9,7.308506473363498,1,False
A1ASV,pred.model_idx_0,6.9828633240600135,1,True
A1ASV,pred.model_idx_1,5.776630126066879,1,False
A1ASV,pred.model_idx_2,8.528712221116482,1,False
A1ASV,pred.model_idx_3,6.166407049583184,1,False
A1ASV,pred.model_idx_4,7.55235610316795,1,False
A1ASV,pred.model_idx_5,7.715751515770218,1,False
A1ASV,pred.model_idx_6,6.1152158987330365,1,False
A1ASV,pred.model_idx_7,7.25136749413014,1,False
A1ASV,pred.model_idx_8,6.95347283903482,1,False
A1ASV,pred.model_idx_9,6.0171490062475135,1,False
A1ASU,pred.model_idx_0,7.927412026009155,1,True
A1ASU,pred.model_idx_1,7.813360011481696,1,False
A1ASU,pred.model_idx_2,10.339398723501175,1,False
A1ASU,pred.model_idx_3,7.22213031212773,1,False
