ligand,arm,file,rep,n_entities,n_query_copies,renumber_offset,renumber_identity,lddt_pli,bisy_rmsd,rot_deg,trans_a,conformer_a,raw_rmsd,pocket_ca_rmsd,n_fit,mapped,copy_chain,fe_dist,xeng,lddt_pli_bestmatch,bisy_bestmatch,same_copy_fe_and_best,inter_copy_min_dist,fg_bb_rmsd_to_crystal,n_fg_atoms,md5,second_fe_dist,second_peripheral_contacts,second_peripheral_residues,second_class
MWS,single,MWS__single__r1s0.cif,1,1,1,0,1.0,0.5159857904085258,3.6982042262185177,169.83900530664567,0.5866451670512519,2.2894246901030493,3.6982042262185177,0.37094313932309597,53,True,L,3.7707418230415133,1.0706496691667178,0.5159857904085258,3.6982042262185177,True,,0.786522430154009,28,61582d3d23e17d6bb30a8bc6779431bd,,0,,none
MWS,single,MWS__single__r2s0.cif,2,1,1,0,1.0,0.5159857904085258,3.6982042262185177,169.83900530664567,0.5866451670512519,2.2894246901030493,3.6982042262185177,0.37094313932309597,53,True,L,3.7707418230415133,1.0706496691667178,0.5159857904085258,3.6982042262185177,True,,0.786522430154009,28,61582d3d23e17d6bb30a8bc6779431bd,,0,,none
MWS,single,MWS__single__r3s0.cif,3,1,1,0,1.0,0.5159857904085258,3.6982042262185177,169.83900530664567,0.5866451670512519,2.2894246901030493,3.6982042262185177,0.37094313932309597,53,True,L,3.7707418230415133,1.0706496691667178,0.5159857904085258,3.6982042262185177,True,,0.786522430154009,28,61582d3d23e17d6bb30a8bc6779431bd,,0,,none
MWS,double,MWS__double__r0s0.cif,0,2,2,0,1.0,0.7952930728241564,1.1128455313078518,11.038155020973933,0.656577466530502,0.7308411347832643,1.1128455313078518,0.316160204072341,53,True,L,3.9714652080012036,1.0290878558133205,0.7952930728241564,1.1128455313078518,True,3.2333589474080635,0.5371257120043067,28,7fa2a4a4c047dffce948baa1c3f2977a,8.26043256315739,2,"213,220",active_site
MWS,double,MWS__double__r1s0.cif,1,2,2,0,1.0,0.7531083481349912,1.3449907613099352,8.75118050472935,0.6612596853058332,1.0907236619800096,1.3449907613099352,0.3337175992433499,53,True,L,3.7888282104847097,0.8864473506686262,0.7531083481349912,1.3449907613099352,True,3.403445346008059,0.4975091004156196,28,d747e81ea7d584ef320460daa457bd37,8.257077064363797,2,"213,220",active_site
MWS,double,MWS__double__r2s0.cif,2,2,2,0,1.0,0.7531083481349912,1.3449907613099352,8.75118050472935,0.6612596853058332,1.0907236619800096,1.3449907613099352,0.3337175992433499,53,True,L,3.7888282104847097,0.8864473506686262,0.7531083481349912,1.3449907613099352,True,3.403445346008059,0.4975091004156196,28,d747e81ea7d584ef320460daa457bd37,8.257077064363797,2,"213,220",active_site
MWS,double,MWS__double__r3s0.cif,3,2,2,0,1.0,0.7531083481349912,1.3449907613099352,8.75118050472935,0.6612596853058332,1.0907236619800096,1.3449907613099352,0.3337175992433499,53,True,L,3.7888282104847097,0.8864473506686262,0.7531083481349912,1.3449907613099352,True,3.403445346008059,0.4975091004156196,28,d747e81ea7d584ef320460daa457bd37,8.257077064363797,2,"213,220",active_site
MWS,decoy,MWS__decoy__r0s0.cif,0,2,1,0,1.0,0.003996447602131439,20.8354558103344,148.9964332173791,19.083629115924655,2.893233235155897,20.8354558103344,0.31923790428739285,53,True,L,19.230353980463402,15.861980931241456,0.003996447602131439,20.8354558103344,True,11.6108137264121,0.45576400473719547,28,d33f0394167fdc9b5eebada07d0eed80,3.436356425648729,1,212,active_site
MWS,decoy,MWS__decoy__r1s0.cif,1,2,1,0,1.0,0.7402309058614565,1.5886409647276751,10.160788728366834,0.4741877168451477,1.416212950825255,1.5886409647276751,0.36456682185507194,53,True,L,4.013753501154819,0.8333369060717725,0.7402309058614565,1.5886409647276751,True,3.1959473977830504,0.5587167304972952,28,9f88c82fbd40e4aeea591608aa6cea4d,8.685187069211775,1,213,active_site
MWS,decoy,MWS__decoy__r2s0.cif,2,2,1,0,1.0,0.7402309058614565,1.5886409647276751,10.160788728366834,0.4741877168451477,1.416212950825255,1.5886409647276751,0.36456682185507194,53,True,L,4.013753501154819,0.8333369060717725,0.7402309058614565,1.5886409647276751,True,3.1959473977830504,0.5587167304972952,28,9f88c82fbd40e4aeea591608aa6cea4d,8.685187069211775,1,213,active_site
MWS,decoy,MWS__decoy__r3s0.cif,3,2,1,0,1.0,0.7402309058614565,1.5886409647276751,10.160788728366834,0.4741877168451477,1.416212950825255,1.5886409647276751,0.36456682185507194,53,True,L,4.013753501154819,0.8333369060717725,0.7402309058614565,1.5886409647276751,True,3.1959473977830504,0.5587167304972952,28,9f88c82fbd40e4aeea591608aa6cea4d,8.685187069211775,1,213,active_site
A1ASQ,single,A1ASQ__single__r0s0.cif,0,1,1,0,1.0,0.74373576309795,2.4174147870798435,17.948781705491527,0.49042934850688014,2.2294992332026475,2.4174147870798435,0.4316072357261311,51,True,L,2.1767865965092166,0.34056630138471117,0.74373576309795,2.4174147870798435,True,,0.5459989828466689,28,0efb180d9fd09b29c1abe54b0edbb2e4,,0,,none
A1ASQ,single,A1ASQ__single__r1s0.cif,1,1,1,0,1.0,0.7272209567198178,2.223648946305993,17.23037370569643,0.35763057337441984,2.039919211853163,2.223648946305993,0.9603857026386342,51,True,L,2.1642844590534174,0.471381995698369,0.7272209567198178,2.223648946305993,True,,2.266680800830785,28,fa30194df13fb5cde1f41ae1c4440239,,0,,none
A1ASQ,single,A1ASQ__single__r2s0.cif,2,1,1,0,1.0,0.7272209567198178,2.223648946305993,17.23037370569643,0.35763057337441984,2.039919211853163,2.223648946305993,0.9603857026386342,51,True,L,2.1642844590534174,0.471381995698369,0.7272209567198178,2.223648946305993,True,,2.266680800830785,28,fa30194df13fb5cde1f41ae1c4440239,,0,,none
A1ASQ,single,A1ASQ__single__r3s0.cif,3,1,1,0,1.0,0.7272209567198178,2.223648946305993,17.23037370569643,0.35763057337441984,2.039919211853163,2.223648946305993,0.9603857026386342,51,True,L,2.1642844590534174,0.471381995698369,0.7272209567198178,2.223648946305993,True,,2.266680800830785,28,fa30194df13fb5cde1f41ae1c4440239,,0,,none
A1ASQ,double,A1ASQ__double__r0s0.cif,0,2,2,0,1.0,0.648633257403189,2.7938859174215986,33.79059585178749,0.8642442087888795,1.9824773476912736,2.7938859174215986,1.0703328601426407,51,True,L,2.220191758394594,1.1885631654978612,0.648633257403189,2.7938859174215986,True,4.2778722215303375,2.472652562903915,28,fd16ca3c54020ec289021ad94dab3ec6,10.578408385572809,2,"220,240",active_site
A1ASQ,double,A1ASQ__double__r1s0.cif,1,2,2,0,1.0,0.6366742596810934,2.9611088969853956,30.45589515111345,1.013336219092457,2.5537866886751313,2.9611088969853956,0.6214157128670016,51,True,M,2.2159783592271203,1.1964062066220627,0.6366742596810934,2.9611088969853956,True,3.363197260337377,1.0970763388168925,28,9127eadad0014fdde7b86bce67d79b1b,4.682575201268724,0,,active_site
A1ASQ,double,A1ASQ__double__r2s0.cif,2,2,2,0,1.0,0.6366742596810934,2.9611088969853956,30.45589515111345,1.013336219092457,2.5537866886751313,2.9611088969853956,0.6214157128670016,51,True,M,2.2159783592271203,1.1964062066220627,0.6366742596810934,2.9611088969853956,True,3.363197260337377,1.0970763388168925,28,9127eadad0014fdde7b86bce67d79b1b,4.682575201268724,0,,active_site
A1ASQ,double,A1ASQ__double__r3s0.cif,3,2,2,0,1.0,0.6366742596810934,2.9611088969853956,30.45589515111345,1.013336219092457,2.5537866886751313,2.9611088969853956,0.6214157128670016,51,True,M,2.2159783592271203,1.1964062066220627,0.6366742596810934,2.9611088969853956,True,3.363197260337377,1.0970763388168925,28,9127eadad0014fdde7b86bce67d79b1b,4.682575201268724,0,,active_site
A1ASQ,decoy,A1ASQ__decoy__r0s0.cif,0,2,1,0,1.0,0.642369020501139,2.740320705852989,28.260588605305962,0.9884416114646102,2.1322174932823383,2.740320705852989,0.5594702185797406,51,True,L,2.141595812851552,0.8153180620243656,0.642369020501139,2.740320705852989,True,3.233073828191532,0.8084610748295982,28,2bc9cbef553a87e7dc9b2510e9ad057f,9.30743201879147,2,"212,213",active_site
A1ASQ,decoy,A1ASQ__decoy__r1s0.cif,1,2,1,0,1.0,0.6919134396355353,2.836630325370198,51.24438634721051,1.8065784441499624,1.1268294698888555,2.836630325370198,0.5090872324796726,51,True,L,2.1834015900816426,1.1027044141084785,0.6919134396355353,2.836630325370198,True,2.3330009216297314,0.7355022098029692,28,29ce24edcec2b9cfa79df4122389682a,4.9904942434920745,0,,active_site
A1ASQ,decoy,A1ASQ__decoy__r2s0.cif,2,2,1,0,1.0,0.6919134396355353,2.836630325370198,51.24438634721051,1.8065784441499624,1.1268294698888555,2.836630325370198,0.5090872324796726,51,True,L,2.1834015900816426,1.1027044141084785,0.6919134396355353,2.836630325370198,True,2.3330009216297314,0.7355022098029692,28,29ce24edcec2b9cfa79df4122389682a,4.9904942434920745,0,,active_site
A1ASQ,decoy,A1ASQ__decoy__r3s0.cif,3,2,1,0,1.0,0.6919134396355353,2.836630325370198,51.24438634721051,1.8065784441499624,1.1268294698888555,2.836630325370198,0.5090872324796726,51,True,L,2.1834015900816426,1.1027044141084785,0.6919134396355353,2.836630325370198,True,2.3330009216297314,0.7355022098029692,28,29ce24edcec2b9cfa79df4122389682a,4.9904942434920745,0,,active_site
