ligand,sample,n_clashing,n_movable,n_backbone_clashing,heme_min,start_min,n_cleared,n_moved,n_uncleared,max_pert,sum_pert,final_min,solved,inter_sidechain_min,n_backbone
X7P,input_model_10,1,1,0,2.624561685256531,0.7675812946678358,0,0,1,0.0,0.0,0.7675812946678358,False,,0
X7P,input_model_11,1,1,0,2.5850307992308066,0.6137482197902099,0,0,1,0.0,0.0,0.6137482197902099,False,,0
X7P,input_model_12,1,1,0,2.625448824889662,0.5805851462320435,0,0,1,0.0,0.0,0.5805851462320435,False,,0
X7P,input_model_13,1,1,0,2.539925544977068,0.6845624438279236,0,0,1,0.0,0.0,0.6845624438279236,False,,0
X7P,input_model_14,1,1,0,2.589938863735108,0.606206226617787,0,0,1,0.0,0.0,0.606206226617787,False,,0
X7P,input_model_15,1,1,0,2.5770634093605085,0.7211606799688267,0,0,1,0.0,0.0,0.7211606799688267,False,,0
X7P,input_model_16,1,1,0,2.5916513351029393,0.7889546867111881,0,0,1,0.0,0.0,0.7889546867111881,False,,0
X7P,input_model_17,1,1,0,2.567198552727853,0.5597441630499778,0,0,1,0.0,0.0,0.5597441630499778,False,,0
X7P,input_model_18,1,1,0,2.628857776292849,0.7204319460994973,0,0,1,0.0,0.0,0.7204319460994973,False,,0
X7P,input_model_19,1,1,0,2.5624194849847695,0.6151371757149685,0,0,1,0.0,0.0,0.6151371757149685,False,,0
Y83,input_model_0,0,0,0,2.822715121303789,2.373601454838096,0,0,0,0.0,0.0,2.373601454838096,True,,0
Y83,input_model_1,0,0,0,2.7249620430370634,2.419915379313594,0,0,0,0.0,0.0,2.419915379313594,True,,0
Y83,input_model_2,0,0,0,2.757704411264811,2.3731337401111476,0,0,0,0.0,0.0,2.3731337401111476,True,,0
Y83,input_model_3,0,0,0,2.7931663226604395,2.4432514115339665,0,0,0,0.0,0.0,2.4432514115339665,True,,0
Y83,input_model_4,0,0,0,2.8347439361438265,2.375663377622688,0,0,0,0.0,0.0,2.375663377622688,True,,0
Y83,input_model_5,0,0,0,2.765774261875743,2.4158914420930553,0,0,0,0.0,0.0,2.4158914420930553,True,,0
Y83,input_model_6,0,0,0,2.8187120032286064,2.395031366267076,0,0,0,0.0,0.0,2.395031366267076,True,,0
Y83,input_model_7,0,0,0,2.7626463836622275,2.440773276489825,0,0,0,0.0,0.0,2.440773276489825,True,,0
Y83,input_model_8,0,0,0,2.813483469476125,2.334262460317316,0,0,0,0.0,0.0,2.334262460317316,True,,0
Y83,input_model_9,0,0,0,2.8354518812145906,2.397964531384794,0,0,0,0.0,0.0,2.397964531384794,True,,0
Y83,input_model_10,0,0,0,2.8643346396970903,2.4502632754584797,0,0,0,0.0,0.0,2.4502632754584797,True,,0
Y83,input_model_11,0,0,0,2.7214261018309966,2.444636181364953,0,0,0,0.0,0.0,2.444636181364953,True,,0
Y83,input_model_12,1,1,0,2.8149339024764033,0.7013716732635429,1,1,0,80.0,80.0,2.282245777454735,True,,0
Y83,input_model_13,0,0,0,2.8067304338627634,2.3808804074544594,0,0,0,0.0,0.0,2.3808804074544594,True,,0
Y83,input_model_14,0,0,0,2.7934564879959396,2.4088855934177738,0,0,0,0.0,0.0,2.4088855934177738,True,,0
Y83,input_model_15,0,0,0,2.7791036773215803,2.2394521861518433,0,0,0,0.0,0.0,2.2394521861518433,True,,0
Y83,input_model_16,0,0,0,2.820681483965965,2.409203853427109,0,0,0,0.0,0.0,2.409203853427109,True,,0
Y83,input_model_17,0,0,0,2.774447639943757,2.3532646707071105,0,0,0,0.0,0.0,2.3532646707071105,True,,0
Y83,input_model_18,1,1,0,2.751700559853797,2.1004736935947323,1,1,0,10.0,10.0,2.253697377494359,True,,0
Y83,input_model_19,1,1,0,2.9726748108391736,2.0637495295204533,1,1,0,10.0,10.0,2.2908069768988284,True,,0
