ligand,sample,lddt_pli,bisy_rmsd
6AW,6AW__r0s15,0.08198529411764706,12.338555631197199
6AW,6AW__r0s16,0.10588235294117648,13.734963676682218
6AW,6AW__r0s17,0.19411764705882353,10.492090999972765
6AW,6AW__r0s18,0.24044117647058824,7.0644395051081155
6AW,6AW__r0s19,0.1213235294117647,12.079453132454798
6AW,6AW__r0s2,0.09227941176470589,9.978431414736205
6AW,6AW__r0s3,0.37941176470588234,4.920990602619528
6AW,6AW__r0s4,0.09080882352941178,11.61176962112564
6AW,6AW__r0s5,0.039705882352941174,14.028561741538748
6AW,6AW__r0s6,0.3636029411764706,5.449333831634095
6AW,6AW__r0s7,0.04301470588235294,13.846976589753583
6AW,6AW__r0s8,0.11433823529411766,10.119129337281874
6AW,6AW__r0s9,0.07830882352941176,13.107775900506114
7AW,7AW__r0s0,0.6840536512667661,1.2694985840074233
7AW,7AW__r0s1,0.29098360655737704,8.006142581710511
7AW,7AW__r0s10,0.09575260804769001,14.2233939628423
7AW,7AW__r0s11,0.27123695976154993,7.592936023111565
7AW,7AW__r0s12,0.0804769001490313,12.143685614839669
7AW,7AW__r0s13,0.27943368107302535,7.725304016736063
7AW,7AW__r0s14,0.2440387481371088,10.95019975796956
7AW,7AW__r0s15,0.04694485842026826,13.208017944533077
7AW,7AW__r0s16,0.29135618479880776,9.413713077495274
7AW,7AW__r0s17,0.0871833084947839,12.782402321661742
7AW,7AW__r0s18,0.06631892697466468,12.637084120419452
7AW,7AW__r0s19,0.29321907600596125,7.187791405588637
7AW,7AW__r0s2,0.11289120715350223,11.094177018887896
7AW,7AW__r0s3,0.1557377049180328,13.621361438350034
7AW,7AW__r0s4,0.3125931445603577,5.484125744110668
7AW,7AW__r0s5,0.20081967213114754,10.470756822144812
7AW,7AW__r0s6,0.05663189269746647,12.768789092321974
7AW,7AW__r0s7,0.19560357675111772,9.470799808738077
7AW,7AW__r0s8,0.21423248882265278,9.461371550649245
7AW,7AW__r0s9,0.30886736214605065,6.80360809969172
80K,80K__r0s0,0.6472275334608031,3.2041085375520035
80K,80K__r0s1,0.2390057361376673,6.7500015673881855
80K,80K__r0s10,0.14531548757170173,10.634166336930797
80K,80K__r0s11,0.03824091778202677,11.504847497060164
80K,80K__r0s12,0.15009560229445507,8.461897346337969
80K,80K__r0s13,0.06022944550669217,11.982096485063401
80K,80K__r0s14,0.21940726577437858,7.445592550262812
80K,80K__r0s15,0.1161567877629063,10.293547417288096
80K,80K__r0s16,0.06883365200764818,13.236553846829585
80K,80K__r0s17,0.09225621414913958,8.44448703964284
80K,80K__r0s18,0.1888145315487572,9.22000552250471
80K,80K__r0s19,0.125717017208413,9.914159090058616
80K,80K__r0s2,0.09034416826003824,12.72482101470497
80K,80K__r0s3,0.12667304015296366,10.404799421853324
80K,80K__r0s4,0.11185468451242829,8.927009712447926
80K,80K__r0s5,0.16634799235181646,9.632625394158964
80K,80K__r0s6,0.3331739961759082,5.47756195077131
80K,80K__r0s7,0.1601338432122371,9.572664406589748
80K,80K__r0s8,0.21462715105162522,6.06655560815558
80K,80K__r0s9,0.10946462715105162,10.44758058192554
8AW,8AW__r0s0,0.6946236559139785,1.7897172617400938
8AW,8AW__r0s1,0.2537634408602151,6.682003388941774
8AW,8AW__r0s10,0.26505376344086023,5.931085854984291
8AW,8AW__r0s11,0.20591397849462367,10.234922906550784
8AW,8AW__r0s12,0.17795698924731185,8.044208089488478
8AW,8AW__r0s13,0.17795698924731182,7.65949735444083
8AW,8AW__r0s14,0.12688172043010754,10.054367528125383
8AW,8AW__r0s15,0.2290322580645161,6.785287705129655
8AW,8AW__r0s16,0.12526881720430108,12.428541318434002
8AW,8AW__r0s17,0.25,7.867717864388188
8AW,8AW__r0s18,0.22741935483870968,8.049960528219527
8AW,8AW__r0s19,0.20806451612903226,6.435644979741688
8AW,8AW__r0s2,0.23118279569892475,11.056274344423569
8AW,8AW__r0s3,0.1456989247311828,9.192021075201188
8AW,8AW__r0s4,0.20967741935483872,7.977038518247343
8AW,8AW__r0s5,0.23548387096774193,7.537054787357575
8AW,8AW__r0s6,0.2182795698924731,8.981807792172217
8AW,8AW__r0s7,0.12150537634408602,10.781867944647306
8AW,8AW__r0s8,0.05268817204301075,12.616691951075136
8AW,8AW__r0s9,0.1010752688172043,9.777779398735253
A1A06,A1A06__r0s0,0.8308823529411764,2.1983040197707178
A1A06,A1A06__r0s1,0.037745098039215684,13.669269875830736
A1A06,A1A06__r0s10,0.09362745098039216,9.925888632013182
A1A06,A1A06__r0s11,0.12009803921568628,12.372320029479901
A1A06,A1A06__r0s12,0.20294117647058824,12.12483503160435
A1A06,A1A06__r0s13,0.18627450980392157,11.126430895289095
A1A06,A1A06__r0s14,0.13970588235294118,10.953306026814953
A1A06,A1A06__r0s15,0.09166666666666666,9.167989539517654
A1A06,A1A06__r0s16,0.10980392156862745,8.25997830855578
A1A06,A1A06__r0s17,0.4117647058823529,4.515054497086228
A1A06,A1A06__r0s18,0.22205882352941175,11.296032621355508
A1A06,A1A06__r0s19,0.09607843137254901,14.39418814473252
A1A06,A1A06__r0s2,0.25882352941176473,7.38131762806887
A1A06,A1A06__r0s3,0.1519607843137255,12.16632467573244
A1A06,A1A06__r0s4,0.06323529411764706,14.685842162169788
A1A06,A1A06__r0s5,0.16911764705882354,9.080227130053117
A1A06,A1A06__r0s6,0.07107843137254902,10.522597438511356
A1A06,A1A06__r0s7,0.1784313725490196,8.078627360126891
A1A06,A1A06__r0s8,0.14558823529411766,10.549001454133
A1A06,A1A06__r0s9,0.1843137254901961,7.843081591458999
A1A07,A1A07__r0s0,0.6237424547283702,2.5366816136476986
