name,tag,rank,xeng
6BDH_DEV,run5_s42,0,0.8396003098756614
6BDH_DEV,run5_s42,1,0.7926316714354454
6BDH_DEV,run5_s42,2,0.8032340724812179
6BDH_DEV,run5_s42,3,0.8782226170283669
6BDH_DEV,run5_s42,4,0.7911011019219399
6BDI_DEJ,run5_s42,0,1.2301054728932337
6BDI_DEJ,run5_s42,1,1.4117694218131176
6BDI_DEJ,run5_s42,2,1.4859351404755314
6BDI_DEJ,run5_s42,3,1.2817368357190257
6BDI_DEJ,run5_s42,4,1.525564239343192
6BDK_DJ1,run5_s42,0,1.9536941369304561
6BDK_DJ1,run5_s42,1,1.8059034085582055
6BDK_DJ1,run5_s42,2,1.7563733755270423
6BDK_DJ1,run5_s42,3,1.9108117471634543
6BDK_DJ1,run5_s42,4,1.6905272471466732
6BDM_Y83,run5_s42,0,1.3611435025620215
6BDM_Y83,run5_s42,1,1.169258443001593
6BDM_Y83,run5_s42,2,1.128629023639767
6BDM_Y83,run5_s42,3,1.4375485062707998
6BDM_Y83,run5_s42,4,1.3099153425648435
6DA2_G0D,run5_s42,0,0.8709878707687029
6DA2_G0D,run5_s42,1,0.879982873703843
6DA2_G0D,run5_s42,2,0.9861054380645949
6DA2_G0D,run5_s42,3,0.8920954647950694
6DA2_G0D,run5_s42,4,0.8753150078950558
6DA5_G1J,run5_s42,0,0.8771867109752044
6DA5_G1J,run5_s42,1,0.8608659483675406
6DA5_G1J,run5_s42,2,0.8633485062561561
6DA5_G1J,run5_s42,3,0.8831244116966687
6DA5_G1J,run5_s42,4,0.8913072504935154
6DA8_G0J,run5_s42,0,1.4062479550031783
6DA8_G0J,run5_s42,1,1.192868241122582
6DA8_G0J,run5_s42,2,1.043923066611487
6DA8_G0J,run5_s42,3,1.5671500477713218
6DA8_G0J,run5_s42,4,1.2191113723762705
6DAA_G0M,run5_s42,0,1.0745990447231986
6DAA_G0M,run5_s42,1,0.8791486438035498
6DAA_G0M,run5_s42,2,1.0431013899784192
6DAA_G0M,run5_s42,3,0.9457941993665403
6DAA_G0M,run5_s42,4,1.0785941861150437
6DAB_G0V,run5_s42,0,0.8573813571864012
6DAB_G0V,run5_s42,1,0.8180432000681636
6DAB_G0V,run5_s42,2,0.8500283261263192
6DAB_G0V,run5_s42,3,0.8233653840966637
6DAB_G0V,run5_s42,4,0.8710723546438208
6DAC_FZV,run5_s42,0,0.9935858445528015
6DAC_FZV,run5_s42,1,1.0613258129195176
6DAC_FZV,run5_s42,2,1.0249532868590934
6DAC_FZV,run5_s42,3,1.0073059557828086
6DAC_FZV,run5_s42,4,0.9870890187926257
6OO9_MWV,run5_s42,0,1.149867214543193
6OO9_MWV,run5_s42,1,1.1208836376447622
6OO9_MWV,run5_s42,2,1.1875500501672878
6OO9_MWV,run5_s42,3,1.2099579829241556
6OO9_MWV,run5_s42,4,1.402238930774476
6OOA_MWY,run5_s42,0,1.3295406344198388
6OOA_MWY,run5_s42,1,1.3282027894667972
6OOA_MWY,run5_s42,2,1.3553161886909844
6OOA_MWY,run5_s42,3,1.412919798034903
6OOA_MWY,run5_s42,4,1.5706831864749382
6OOB_MWS,run5_s42,0,0.8460110549031488
6OOB_MWS,run5_s42,1,1.7160628423592368
6OOB_MWS,run5_s42,2,1.5212223128497513
6OOB_MWS,run5_s42,3,1.7384632832369438
6OOB_MWS,run5_s42,4,2.723546142840676
6UNE_QES,run5_s42,0,1.1480157067851573
6UNE_QES,run5_s42,1,1.1247128656056766
6UNE_QES,run5_s42,2,1.1972332378510588
6UNE_QES,run5_s42,3,1.2266817548319826
6UNE_QES,run5_s42,4,1.1713479411713423
6UNG_QEP,run5_s42,0,0.7770701243266819
6UNG_QEP,run5_s42,1,0.7476526276586087
6UNG_QEP,run5_s42,2,1.5076357276173062
6UNG_QEP,run5_s42,3,1.403784586597588
6UNG_QEP,run5_s42,4,1.0341467831723816
6UNH_QEA,run5_s42,0,1.6272561231578313
6UNH_QEA,run5_s42,1,1.4749026304441146
6UNH_QEA,run5_s42,2,0.9646361146202896
6UNH_QEA,run5_s42,3,1.4658715935682254
6UNH_QEA,run5_s42,4,1.7081544723544297
6UNI_QDV,run5_s42,0,1.4432756399732476
6UNI_QDV,run5_s42,1,1.2502336808263685
6UNI_QDV,run5_s42,2,1.2812044504570443
6UNI_QDV,run5_s42,3,1.6245553239383577
6UNI_QDV,run5_s42,4,1.153503059288329
6UNJ_QDY,run5_s42,0,0.8214936084643129
6UNJ_QDY,run5_s42,1,0.6394584187794194
6UNJ_QDY,run5_s42,2,0.7732822317958702
6UNJ_QDY,run5_s42,3,0.626874352356557
6UNJ_QDY,run5_s42,4,0.7954284105393352
6UNK_QE4,run5_s42,0,0.737963736351554
6UNK_QE4,run5_s42,1,0.6785774579522867
6UNK_QE4,run5_s42,2,0.8150170002148622
6UNK_QE4,run5_s42,3,0.8431857293857157
6UNK_QE4,run5_s42,4,1.1416319392070744
6UNL_QDJ,run5_s42,0,0.9738303063971631
6UNL_QDJ,run5_s42,1,0.8042508871099615
6UNL_QDJ,run5_s42,2,0.9704695777247655
6UNL_QDJ,run5_s42,3,0.9091012012749161
6UNL_QDJ,run5_s42,4,1.249478842996624
6UNM_QDP,run5_s42,0,0.9298441077737641
6UNM_QDP,run5_s42,1,0.7683067035577876
6UNM_QDP,run5_s42,2,0.7745569637745746
6UNM_QDP,run5_s42,3,0.7800347244420243
6UNM_QDP,run5_s42,4,0.8351830125162696
7KVH_X5Y,run5_s42,0,0.5689682629569236
7KVH_X5Y,run5_s42,1,0.6346626548485513
7KVH_X5Y,run5_s42,2,0.5750298012791286
7KVH_X5Y,run5_s42,3,0.6123282923328177
7KVH_X5Y,run5_s42,4,0.6532527401007276
7KVI_X7P,run5_s42,0,0.5255492642378266
7KVI_X7P,run5_s42,1,0.5841645258643765
7KVI_X7P,run5_s42,2,0.6468343963272937
7KVI_X7P,run5_s42,3,0.6655363151638375
7KVI_X7P,run5_s42,4,0.5581649678365767
7KVJ_X7M,run5_s42,0,0.7255099203640983
7KVJ_X7M,run5_s42,1,0.7481164888272598
7KVJ_X7M,run5_s42,2,0.6490708499762526
7KVJ_X7M,run5_s42,3,0.6286494000543362
7KVJ_X7M,run5_s42,4,0.6015426664463404
7KVK_X7J,run5_s42,0,0.6180996354533319
7KVK_X7J,run5_s42,1,0.6593805973468538
7KVK_X7J,run5_s42,2,0.644906777357681
7KVK_X7J,run5_s42,3,0.5622337743513984
7KVK_X7J,run5_s42,4,0.7334377713563397
7KVM_X71,run5_s42,0,1.0284309696459004
7KVM_X71,run5_s42,1,1.1330817814120402
7KVM_X71,run5_s42,2,1.0490996175560356
7KVM_X71,run5_s42,3,1.151479700918909
7KVM_X71,run5_s42,4,0.9828987049525552
7KVN_X6V,run5_s42,0,1.5320746683446422
7KVN_X6V,run5_s42,1,1.7081803956368653
7KVN_X6V,run5_s42,2,1.6108248909413374
7KVN_X6V,run5_s42,3,1.6363660866158776
7KVN_X6V,run5_s42,4,1.1416429504876273
7KVO_X6S,run5_s42,0,0.6782404611300898
7KVO_X6S,run5_s42,1,0.6562031685127726
7KVO_X6S,run5_s42,2,0.7345656798006143
7KVO_X6S,run5_s42,3,0.8152026922844233
7KVO_X6S,run5_s42,4,0.7801435300311462
7KVP_X6J,run5_s42,0,0.5545651547696581
7KVP_X6J,run5_s42,1,0.5307956265102077
7KVP_X6J,run5_s42,2,0.7811956668843454
7KVP_X6J,run5_s42,3,0.7204938328313681
7KVP_X6J,run5_s42,4,0.8025050763288023
7KVQ_X7D,run5_s42,0,0.6017616132116578
7KVQ_X7D,run5_s42,1,0.7695267524496167
7KVQ_X7D,run5_s42,2,0.687307102753755
7KVQ_X7D,run5_s42,3,0.7067559020177758
7KVQ_X7D,run5_s42,4,1.6692711249104544
7KVS_X74,run5_s42,0,0.6897393340941826
7KVS_X74,run5_s42,1,0.4733333729501877
7KVS_X74,run5_s42,2,0.7249229220702174
7KVS_X74,run5_s42,3,0.6772209291472946
7KVS_X74,run5_s42,4,0.7967936867330252
7LXL_YNV,run5_s42,0,1.39848228852568
7LXL_YNV,run5_s42,1,1.872472116239676
7LXL_YNV,run5_s42,2,1.6094597925730478
7LXL_YNV,run5_s42,3,1.6280097970396332
7LXL_YNV,run5_s42,4,1.6818856740940922
7UF9_NH0,run5_s42,0,1.0844644209301615
7UF9_NH0,run5_s42,1,1.018329400387458
7UF9_NH0,run5_s42,2,1.1033300491196405
7UF9_NH0,run5_s42,3,0.9231458261799448
7UF9_NH0,run5_s42,4,0.8558912973586499
7UFA_NI6,run5_s42,0,0.7587553534333532
7UFA_NI6,run5_s42,1,0.6109953462938867
7UFA_NI6,run5_s42,2,0.7569627197924514
7UFA_NI6,run5_s42,3,0.8145914405142861
7UFA_NI6,run5_s42,4,0.6070705228357058
7UFB_NJ0,run5_s42,0,0.8585611757621074
7UFB_NJ0,run5_s42,1,0.9095202008390658
7UFB_NJ0,run5_s42,2,0.8999125699867284
7UFB_NJ0,run5_s42,3,0.8864433813011893
7UFB_NJ0,run5_s42,4,0.9324862880012179
7UFC_NJO,run5_s42,0,0.9379256337801662
7UFC_NJO,run5_s42,1,0.9067489398849854
7UFC_NJO,run5_s42,2,0.8766014516903792
7UFC_NJO,run5_s42,3,0.9273140338361134
7UFC_NJO,run5_s42,4,0.8660830201884436
7UFD_T0K,run5_s42,0,0.6701600562251734
