ligand,sample,rep,engine,ranking_score,ptm,iptm,plddt,gpde,has_clash,disorder
TPF,0,1,protenix_v2,0.9436050653457642,0.9566332101821899,0.9403479695320129,93.37378692626953,0.6153256297111511,0.0,0.0
X2B,0,1,protenix_v2,0.9155008792877197,0.9380762577056885,0.9098569750785828,91.9843521118164,0.8032366633415222,0.0,0.0
G1D,0,1,protenix_v2,0.9590892791748047,0.9569975733757019,0.9596121907234192,93.39096069335938,0.5198001265525818,0.0,0.0
G0Y,0,1,protenix_v2,0.95331871509552,0.9551878571510315,0.952851414680481,93.31783294677734,0.5426511168479919,0.0,0.0
O39,0,1,protenix_v2,0.9135658740997314,0.9364683628082275,0.9078402519226074,92.02944946289062,0.7793397903442383,0.0,0.0
X8S,0,1,protenix_v2,0.9207045435905457,0.9418818950653076,0.9154102206230164,92.28729248046875,0.6864771842956543,0.0,0.0
X1O,0,2,protenix_v2,0.9169223308563232,0.9415603876113892,0.9107627868652344,92.7881088256836,0.7706705331802368,0.0,0.0
X4E,0,2,protenix_v2,0.905246376991272,0.9319683313369751,0.8985658288002014,91.97053527832031,0.8001720905303955,0.0,0.0
X2Q,0,2,protenix_v2,0.9117674231529236,0.936740517616272,0.9055240750312805,91.94158935546875,0.7856361865997314,0.0,0.0
WZN,0,2,protenix_v2,0.9089041948318481,0.9358669519424438,0.9021634459495544,92.01387786865234,0.8266273140907288,0.0,0.0
X1I,0,2,protenix_v2,0.9175013303756714,0.9415290951728821,0.9114943742752075,92.4648666381836,0.7565576434135437,0.0,0.0
X1C,0,2,protenix_v2,0.9091441631317139,0.9348840713500977,0.9027091860771179,92.07007598876953,0.77329021692276,0.0,0.0
O3L,0,2,protenix_v2,0.9160088300704956,0.9387104511260986,0.9103333950042725,92.4627456665039,0.743374228477478,0.0,0.0
X0E,0,2,protenix_v2,0.9111485481262207,0.9371659755706787,0.9046441912651062,92.20285034179688,0.8154892921447754,0.0,0.0
TPF,0,2,protenix_v2,0.9436050653457642,0.9566332101821899,0.9403479695320129,93.37378692626953,0.6153256297111511,0.0,0.0
X2B,0,2,protenix_v2,0.9155008792877197,0.9380762577056885,0.9098569750785828,91.9843521118164,0.8032366633415222,0.0,0.0
G1D,0,2,protenix_v2,0.9590892791748047,0.9569975733757019,0.9596121907234192,93.39096069335938,0.5198001265525818,0.0,0.0
G0Y,0,2,protenix_v2,0.95331871509552,0.9551878571510315,0.952851414680481,93.31783294677734,0.5426511168479919,0.0,0.0
O39,0,2,protenix_v2,0.9135658740997314,0.9364683628082275,0.9078402519226074,92.02944946289062,0.7793397903442383,0.0,0.0
X8S,0,2,protenix_v2,0.9207045435905457,0.9418818950653076,0.9154102206230164,92.28729248046875,0.6864771842956543,0.0,0.0
X1O,0,3,protenix_v2,0.9169223308563232,0.9415603876113892,0.9107627868652344,92.7881088256836,0.7706705331802368,0.0,0.0
X4E,0,3,protenix_v2,0.905246376991272,0.9319683313369751,0.8985658288002014,91.97053527832031,0.8001720905303955,0.0,0.0
X2Q,0,3,protenix_v2,0.9117674231529236,0.936740517616272,0.9055240750312805,91.94158935546875,0.7856361865997314,0.0,0.0
WZN,0,3,protenix_v2,0.9089041948318481,0.9358669519424438,0.9021634459495544,92.01387786865234,0.8266273140907288,0.0,0.0
X1I,0,3,protenix_v2,0.9175013303756714,0.9415290951728821,0.9114943742752075,92.4648666381836,0.7565576434135437,0.0,0.0
X1C,0,3,protenix_v2,0.9091441631317139,0.9348840713500977,0.9027091860771179,92.07007598876953,0.77329021692276,0.0,0.0
O3L,0,3,protenix_v2,0.9160088300704956,0.9387104511260986,0.9103333950042725,92.4627456665039,0.743374228477478,0.0,0.0
